,Row ID,Order ID,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit,Profit Margin (%),Year,Month,Quarter,Days_in_Month,YOY_Change_daily,Rolling_3M_Sales,Rolling_6M_Sales,YOY_Change_monthly,Sales_Volatility_Monthly,Revenue_Per_Product_Region
13,14,CA-2016-161389,2016-12-10,Standard Class,IM-15070,Irene Maddox,Consumer,United States,Seattle,Washington,98103,West,OFF-BI-10003656,Office Supplies,Binders,Fellowes PB200 Plastic Comb Binding Machine,407.976,3,0.2,132.5922,32.49999999999999,2016,12,4,31,-44.261005000409874,78699.5846,63314.35266666667,29.470986261455177,417.4409016487902,679.96
14,15,US-2015-118983,2015-11-26,Standard Class,HP-14815,Harold Pawlan,Home Office,United States,Fort Worth,Texas,76106,Central,OFF-AP-10002311,Office Supplies,Appliances,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",68.81,5,0.8,-123.858,-180.0,2015,11,4,30,370.6566347469221,57324.46833333332,43739.05903333333,-3.3780955756079387,300.69708411616006,653.695
15,16,US-2015-118983,2015-11-26,Standard Class,HP-14815,Harold Pawlan,Home Office,United States,Fort Worth,Texas,76106,Central,OFF-BI-10000756,Office Supplies,Binders,Storex DuraTech Recycled Plastic Frosted Binders,2.544,3,0.8,-3.816,-150.0,2015,11,4,30,-99.73432959734329,57324.46833333332,43739.05903333333,-3.3780955756079387,300.69708411616006,68.688
16,17,CA-2014-105893,2014-11-18,Standard Class,PK-19075,Pete Kriz,Consumer,United States,Madison,Wisconsin,53711,Central,OFF-ST-10004186,Office Supplies,Storage,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",665.88,6,0.0,13.3176,2.0,2014,11,4,30,2876.931330472103,63953.15349999999,48051.7416,,300.69708411616006,665.88
17,18,CA-2014-167164,2014-05-15,Second Class,AG-10270,Alejandro Grove,Consumer,United States,West Jordan,Utah,84084,West,OFF-ST-10000107,Office Supplies,Storage,Fellowes Super Stor/Drawer,55.5,2,0.0,9.99,18.0,2014,5,2,31,13.589848546868605,35878.21366666667,25278.2856,,437.0517252536434,305.25
18,19,CA-2014-143336,2014-09-01,Second Class,ZD-21925,Zuschuss Donatelli,Consumer,United States,San Francisco,California,94109,West,OFF-AR-10003056,Office Supplies,Art,Newell 341,8.56,2,0.0,2.4824,28.999999999999996,2014,8,3,31,17.582417582417587,32150.3297,34014.27168333333,,430.6393191806257,17.12
19,20,CA-2014-143336,2014-09-01,Second Class,ZD-21925,Zuschuss Donatelli,Consumer,United States,San Francisco,California,94109,West,TEC-PH-10001949,Technology,Phones,Cisco SPA 501G IP Phone,213.48,3,0.2,16.011,7.5,2014,8,3,31,-76.46700883644637,32150.3297,34014.27168333333,,430.6393191806257,213.48
20,21,CA-2014-143336,2014-09-01,Second Class,ZD-21925,Zuschuss Donatelli,Consumer,United States,San Francisco,California,94109,West,OFF-BI-10002215,Office Supplies,Binders,"Wilson Jones Hanging View Binder, White, 1""",22.72,4,0.2,7.384,32.5,2014,8,3,31,22.78426286208386,32150.3297,34014.27168333333,,430.6393191806257,79.52
21,22,CA-2016-137330,2016-12-13,Standard Class,KB-16585,Ken Black,Corporate,United States,Fremont,Nebraska,68025,Central,OFF-AR-10000246,Office Supplies,Art,Newell 318,19.46,7,0.0,5.0596,25.999999999999996,2016,12,4,31,-83.06353350739774,78699.5846,63314.35266666667,29.470986261455177,720.7692697382,19.46
22,23,CA-2016-137330,2016-12-13,Standard Class,KB-16585,Ken Black,Corporate,United States,Fremont,Nebraska,68025,Central,OFF-AP-10001492,Office Supplies,Appliances,"Acco Six-Outlet Power Strip, 4' Cord Length",60.34,7,0.0,15.6884,25.999999999999996,2016,12,4,31,-96.4634529452861,78699.5846,63314.35266666667,29.470986261455177,720.7692697382,60.34
23,24,US-2017-156909,2017-07-18,Second Class,SF-20065,Sandra Flanagan,Consumer,United States,Philadelphia,Pennsylvania,19140,East,FUR-CH-10002774,Furniture,Chairs,"Global Deluxe Stacking Chair, Gray",71.372,2,0.3,-1.0196,-1.4285714285714286,2017,7,3,31,-92.16917702408539,47502.417299999994,43033.71236666666,15.288214193467589,313.6989804262888,71.372
24,25,CA-2015-106320,2015-09-30,Standard Class,EB-13870,Emily Burns,Consumer,United States,Orem,Utah,84057,West,FUR-TA-10000577,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,1044.63,3,0.0,240.2649,23.0,2015,9,3,30,6617.01388888889,43419.8584,36563.960366666666,-21.010013936523855,368.2432973754936,2855.322
25,26,CA-2016-121755,2016-01-20,Second Class,EH-13945,Eric Hoffmann,Consumer,United States,Los Angeles,California,90049,West,OFF-BI-10001634,Office Supplies,Binders,Wilson Jones Active Use Binders,11.648,2,0.2,4.2224,36.25000000000001,2016,1,1,31,-97.14493009392709,56478.1919,50388.95823333333,2.027147944735071,501.17552514846403,20.384
26,27,CA-2016-121755,2016-01-20,Second Class,EH-13945,Eric Hoffmann,Consumer,United States,Los Angeles,California,90049,West,TEC-AC-10003027,Technology,Accessories,ImationÂ 8GB Mini TravelDrive USB 2.0Â Flash Drive,90.57,3,0.0,11.7741,13.0,2016,1,1,31,31.623310565324793,56478.1919,50388.95823333333,2.027147944735071,501.17552514846403,350.20399999999995
27,28,US-2015-150630,2015-09-21,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,FUR-BO-10004834,Furniture,Bookcases,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",3083.43,7,0.5,-1665.0522,-54.0,2015,9,3,30,121104.00943396226,43419.8584,36563.960366666666,-21.010013936523855,546.7874449196951,11717.034
28,29,US-2015-150630,2015-09-21,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,OFF-BI-10000474,Office Supplies,Binders,Avery Recycled Flexi-View Covers for Binding Systems,9.618,2,0.7,-7.0532,-73.33333333333334,2015,9,3,30,-98.55559560281131,43419.8584,36563.960366666666,-21.010013936523855,546.7874449196951,24.045
29,30,US-2015-150630,2015-09-21,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,FUR-FU-10004848,Furniture,Furnishings,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",124.2,3,0.2,15.525,12.5,2015,9,3,30,123.78378378378379,43419.8584,36563.960366666666,-21.010013936523855,546.7874449196951,910.8
30,31,US-2015-150630,2015-09-21,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,OFF-EN-10001509,Office Supplies,Envelopes,Poly String Tie Envelopes,3.264,2,0.2,1.1016,33.75,2015,9,3,30,-61.869158878504685,43419.8584,36563.960366666666,-21.010013936523855,546.7874449196951,22.439999999999998
31,32,US-2015-150630,2015-09-21,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,OFF-AR-10004042,Office Supplies,Art,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",86.304,6,0.2,9.7092,11.249999999999998,2015,9,3,30,-59.57279370432828,43419.8584,36563.960366666666,-21.010013936523855,546.7874449196951,86.304
32,33,US-2015-150630,2015-09-21,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,OFF-BI-10001525,Office Supplies,Binders,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",6.858,6,0.7,-5.715,-83.33333333333334,2015,9,3,30,-69.81514084507042,43419.8584,36563.960366666666,-21.010013936523855,546.7874449196951,24.003
33,34,US-2015-150630,2015-09-21,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,OFF-AR-10001683,Office Supplies,Art,Lumber Crayons,15.76,2,0.2,3.546,22.499999999999996,2015,9,3,30,-19.013360739979447,43419.8584,36563.960366666666,-21.010013936523855,546.7874449196951,124.11
34,35,CA-2017-107727,2017-10-23,Second Class,MA-17560,Matt Abelman,Home Office,United States,Houston,Texas,77095,Central,OFF-PA-10000249,Office Supplies,Paper,Easy-staple paper,29.472,3,0.2,9.9468,33.75,2017,10,4,31,-51.15677825654624,76254.82106666666,61878.61918333333,30.306352166596344,1323.6026485847271,797.372
35,36,CA-2016-117590,2016-12-10,First Class,GH-14485,Gene Hale,Corporate,United States,Richardson,Texas,75080,Central,TEC-PH-10004977,Technology,Phones,GE 30524EE4,1097.544,7,0.2,123.4737,11.249999999999998,2016,12,4,31,1437.7795213809338,78699.5846,63314.35266666667,29.470986261455177,720.7692697382,1097.544
36,37,CA-2016-117590,2016-12-10,First Class,GH-14485,Gene Hale,Corporate,United States,Richardson,Texas,75080,Central,FUR-FU-10003664,Furniture,Furnishings,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",190.92,5,0.6,-147.963,-77.5,2016,12,4,31,-81.72367249648201,78699.5846,63314.35266666667,29.470986261455177,720.7692697382,2004.66
37,38,CA-2015-117415,2015-12-31,Standard Class,SN-20710,Steve Nguyen,Home Office,United States,Houston,Texas,77041,Central,OFF-EN-10002986,Office Supplies,Envelopes,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",113.328,9,0.2,35.415,31.25,2015,12,4,31,872.9395604395606,60765.66939999999,52092.7639,7.727159038001534,720.7692697382,113.328
38,39,CA-2015-117415,2015-12-31,Standard Class,SN-20710,Steve Nguyen,Home Office,United States,Houston,Texas,77041,Central,FUR-BO-10002545,Furniture,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",532.3992,3,0.32,-46.9764,-8.823529411764707,2015,12,4,31,487.83173236170916,60765.66939999999,52092.7639,7.727159038001534,720.7692697382,3011.7092000000002
39,40,CA-2015-117415,2015-12-31,Standard Class,SN-20710,Steve Nguyen,Home Office,United States,Houston,Texas,77041,Central,FUR-CH-10004218,Furniture,Chairs,"Global Fabric Manager's Chair, Dark Gray",212.058,3,0.3,-15.147,-7.142857142857144,2015,12,4,31,-93.12265885718178,60765.66939999999,52092.7639,7.727159038001534,720.7692697382,414.01800000000003
40,41,CA-2015-117415,2015-12-31,Standard Class,SN-20710,Steve Nguyen,Home Office,United States,Houston,Texas,77041,Central,TEC-PH-10000486,Technology,Phones,Plantronics HL10 Handset Lifter,371.168,4,0.2,41.7564,11.25,2015,12,4,31,3759.0975254730715,60765.66939999999,52092.7639,7.727159038001534,720.7692697382,371.168
41,42,CA-2017-120999,2017-09-15,Standard Class,LC-16930,Linda Cazamias,Corporate,United States,Naperville,Illinois,60540,Central,TEC-PH-10004093,Technology,Phones,Panasonic Kx-TS550,147.168,4,0.2,16.5564,11.249999999999998,2017,9,3,30,18.492753623188406,65417.31866666665,55002.72133333333,19.692987599027497,818.0025868031044,147.168
42,43,CA-2016-101343,2016-07-22,Standard Class,RA-19885,Ruben Ausman,Corporate,United States,Los Angeles,California,90049,West,OFF-ST-10003479,Office Supplies,Storage,"Eldon Base for stackable storage shelf, platinum",77.88,2,0.0,3.894,5.0,2016,7,3,31,2286.0294117647063,45531.408333333326,41673.15899999999,36.4905941441649,680.7705148722819,155.76
43,44,CA-2017-139619,2017-09-23,Standard Class,ES-14080,Erin Smith,Corporate,United States,Melbourne,Florida,32935,South,OFF-ST-10003282,Office Supplies,Storage,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",95.616,2,0.2,9.5616,10.0,2017,9,3,30,10.789766407119018,65417.31866666665,55002.72133333333,19.692987599027497,397.93716396529567,155.376
44,45,CA-2016-118255,2016-03-13,First Class,ON-18715,Odella Nelson,Corporate,United States,Eagan,Minnesota,55122,Central,TEC-AC-10000171,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",45.98,2,0.0,19.7714,43.00000000000001,2016,3,1,31,570.4578594342374,31079.060333333327,45922.36486666667,33.542164111311365,448.5374826681699,64.372
45,46,CA-2016-118255,2016-03-13,First Class,ON-18715,Odella Nelson,Corporate,United States,Eagan,Minnesota,55122,Central,OFF-BI-10003291,Office Supplies,Binders,Wilson Jones Leather-Like Binders with DublLock Round Rings,17.46,2,0.0,8.2062,47.0,2016,3,1,31,10.78680203045686,31079.060333333327,45922.36486666667,33.542164111311365,448.5374826681699,40.158
46,47,CA-2014-146703,2014-10-25,Second Class,PO-18865,Patrick O'Donnell,Consumer,United States,Westland,Michigan,48185,Central,OFF-ST-10001713,Office Supplies,Storage,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",211.96,4,0.0,8.4784,4.0,2014,10,4,31,619.1910966340934,47046.73743333333,38888.33665,,1323.6026485847271,296.744
47,48,CA-2016-169194,2016-06-25,Standard Class,LH-16900,Lena Hernandez,Consumer,United States,Dover,Delaware,19901,East,TEC-AC-10002167,Technology,Accessories,ImationÂ 8gb Micro Traveldrive Usb 2.0Â Flash Drive,45.0,3,0.0,4.95,11.0,2016,6,2,30,-95.89993658568586,45360.76699999999,38219.91366666667,62.697338080303275,424.5633249111856,264.0
48,49,CA-2016-169194,2016-06-25,Standard Class,LH-16900,Lena Hernandez,Consumer,United States,Dover,Delaware,19901,East,TEC-PH-10003988,Technology,Phones,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",21.8,2,0.0,6.104,27.999999999999996,2016,6,2,30,-88.58160486067462,45360.76699999999,38219.91366666667,62.697338080303275,424.5633249111856,141.7
49,50,CA-2015-115742,2015-04-22,Standard Class,DP-13000,Darren Powers,Consumer,United States,New Albany,Indiana,47150,Central,OFF-BI-10004410,Office Supplies,Binders,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",38.22,6,0.0,17.9634,47.0,2015,4,2,30,-66.27488352393054,28290.95716666666,41870.214049999995,20.851003937220057,412.8345617512873,38.22
50,51,CA-2015-115742,2015-04-22,Standard Class,DP-13000,Darren Powers,Consumer,United States,New Albany,Indiana,47150,Central,OFF-LA-10002762,Office Supplies,Labels,Avery 485,75.18,6,0.0,35.3346,47.0,2015,4,2,30,-85.87901709844793,28290.95716666666,41870.214049999995,20.851003937220057,412.8345617512873,75.18
51,52,CA-2015-115742,2015-04-22,Standard Class,DP-13000,Darren Powers,Consumer,United States,New Albany,Indiana,47150,Central,FUR-FU-10001706,Furniture,Furnishings,Longer-Life Soft White Bulbs,6.16,2,0.0,2.9568,48.0,2015,4,2,30,-97.09513435003632,28290.95716666666,41870.214049999995,20.851003937220057,412.8345617512873,25.872
52,53,CA-2015-115742,2015-04-22,Standard Class,DP-13000,Darren Powers,Consumer,United States,New Albany,Indiana,47150,Central,FUR-CH-10003061,Furniture,Chairs,"Global Leather Task Chair, Black",89.99,1,0.0,17.0981,19.0,2015,4,2,30,-75.75491421674282,28290.95716666666,41870.214049999995,20.851003937220057,412.8345617512873,359.96000000000004
53,54,CA-2016-105816,2016-12-17,Standard Class,JM-15265,Janet Molinari,Corporate,United States,New York City,New York,10024,East,OFF-FA-10000304,Office Supplies,Fasteners,Advantus Push Pins,15.26,7,0.0,6.2566,41.0,2016,12,4,31,-89.630898021309,78699.5846,63314.35266666667,29.470986261455177,530.4786980984812,28.34
54,55,CA-2016-105816,2016-12-17,Standard Class,JM-15265,Janet Molinari,Corporate,United States,New York City,New York,10024,East,TEC-PH-10002447,Technology,Phones,AT&T CL83451 4-Handset Telephone,1029.95,5,0.0,298.6855,28.999999999999996,2016,12,4,31,1222.4833076527993,78699.5846,63314.35266666667,29.470986261455177,530.4786980984812,1029.95
55,56,CA-2016-111682,2016-06-18,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,OFF-ST-10000604,Office Supplies,Storage,Home/Office Personal File Carts,208.56,6,0.0,52.14,25.0,2016,6,2,30,118.12248995983936,45360.76699999999,38219.91366666667,62.697338080303275,424.5633249111856,278.08
56,57,CA-2016-111682,2016-06-18,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,OFF-PA-10001569,Office Supplies,Paper,Xerox 232,32.4,5,0.0,15.552,48.0,2016,6,2,30,-29.5345802522836,45360.76699999999,38219.91366666667,62.697338080303275,424.5633249111856,32.4
57,58,CA-2016-111682,2016-06-18,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,FUR-CH-10003968,Furniture,Chairs,Novimex Turbo Task Chair,319.41,5,0.1,7.098,2.222222222222222,2016,6,2,30,1729.381443298969,45360.76699999999,38219.91366666667,62.697338080303275,424.5633249111856,660.114
58,59,CA-2016-111682,2016-06-18,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,OFF-PA-10000587,Office Supplies,Paper,"Array Parchment Paper, Assorted Colors",14.56,2,0.0,6.9888,48.0,2016,6,2,30,-93.13077939233818,45360.76699999999,38219.91366666667,62.697338080303275,424.5633249111856,50.96
59,60,CA-2016-111682,2016-06-18,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,TEC-AC-10002167,Technology,Accessories,ImationÂ 8gb Micro Traveldrive Usb 2.0Â Flash Drive,30.0,2,0.0,3.3,11.0,2016,6,2,30,-33.33333333333333,45360.76699999999,38219.91366666667,62.697338080303275,424.5633249111856,264.0
60,61,CA-2016-111682,2016-06-18,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,OFF-BI-10001460,Office Supplies,Binders,Plastic Binding Combs,48.48,4,0.2,16.362,33.75,2016,6,2,30,122.3853211009174,45360.76699999999,38219.91366666667,62.697338080303275,424.5633249111856,109.08
61,62,CA-2016-111682,2016-06-18,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,OFF-AR-10001868,Office Supplies,Art,Prang Dustless Chalk Sticks,1.68,1,0.0,0.84,50.0,2016,6,2,30,-95.6043956043956,45360.76699999999,38219.91366666667,62.697338080303275,424.5633249111856,10.08
62,63,CA-2015-135545,2015-11-30,Standard Class,KM-16720,Kunst Miller,Consumer,United States,Los Angeles,California,90004,West,TEC-AC-10004633,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",13.98,2,0.0,6.1512,44.0,2015,11,4,30,-81.40462889066241,57324.46833333332,43739.05903333333,-3.3780955756079387,379.362008409806,69.9
63,64,CA-2015-135545,2015-11-30,Standard Class,KM-16720,Kunst Miller,Consumer,United States,Los Angeles,California,90004,West,OFF-BI-10001078,Office Supplies,Binders,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",25.824,6,0.2,9.3612,36.25,2015,11,4,30,319.22077922077926,57324.46833333332,43739.05903333333,-3.3780955756079387,379.362008409806,81.77600000000001
64,65,CA-2015-135545,2015-11-30,Standard Class,KM-16720,Kunst Miller,Consumer,United States,Los Angeles,California,90004,West,OFF-PA-10003892,Office Supplies,Paper,Xerox 1943,146.73,3,0.0,68.9631,47.0,2015,11,4,30,63.05145016112901,57324.46833333332,43739.05903333333,-3.3780955756079387,379.362008409806,146.73
65,66,CA-2015-135545,2015-11-30,Standard Class,KM-16720,Kunst Miller,Consumer,United States,Los Angeles,California,90004,West,FUR-FU-10000397,Furniture,Furnishings,Luxo Economy Swing Arm Lamp,79.76,4,0.0,22.3328,27.999999999999996,2015,11,4,30,422.6736566186108,57324.46833333332,43739.05903333333,-3.3780955756079387,379.362008409806,299.1
66,67,US-2015-164175,2015-05-05,Standard Class,PS-18970,Paul Stevenson,Home Office,United States,Chicago,Illinois,60610,Central,FUR-CH-10001146,Furniture,Chairs,"Global Value Mid-Back Manager's Chair, Gray",213.115,5,0.3,-15.2225,-7.142857142857142,2015,4,2,30,-79.30821884557503,28290.95716666666,41870.214049999995,20.851003937220057,412.8345617512873,487.12
67,68,CA-2014-106376,2014-12-10,Standard Class,BS-11590,Brendan Sweed,Corporate,United States,Gilbert,Arizona,85234,West,OFF-AR-10002671,Office Supplies,Art,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",1113.024,8,0.2,111.3024,10.000000000000002,2014,12,4,31,433.6708860759494,59875.91006666666,53876.82375,,417.4409016487902,1113.024
68,69,CA-2014-106376,2014-12-10,Standard Class,BS-11590,Brendan Sweed,Corporate,United States,Gilbert,Arizona,85234,West,TEC-PH-10002726,Technology,Phones,netTALK DUO VoIP Telephone Service,167.968,4,0.2,62.988,37.5,2014,12,4,31,418.41975308641975,59875.91006666666,53876.82375,,417.4409016487902,839.84
69,70,CA-2016-119823,2016-06-06,First Class,KD-16270,Karen Daniels,Consumer,United States,Springfield,Virginia,22153,South,OFF-PA-10000482,Office Supplies,Paper,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",75.88,2,0.0,35.6636,47.00000000000001,2016,6,2,30,-76.2436993206224,45360.76699999999,38219.91366666667,62.697338080303275,330.7849642762971,75.88
70,71,CA-2016-106075,2016-09-23,Standard Class,HM-14980,Henry MacAllister,Consumer,United States,New York City,New York,10009,East,OFF-BI-10004654,Office Supplies,Binders,Avery Binding System Hidden Tab Executive Style Index Sets,4.616,1,0.2,1.731,37.50000000000001,2016,9,3,30,-68.2967032967033,47929.12073333332,46644.94386666666,13.644990539495092,546.7874449196951,28.272999999999996
71,72,CA-2017-114440,2017-09-17,Second Class,TB-21520,Tracy Blumstein,Consumer,United States,Jackson,Michigan,49201,Central,OFF-PA-10004675,Office Supplies,Paper,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",19.05,3,0.0,8.763,46.0,2017,9,3,30,-36.5,65417.31866666665,55002.72133333333,19.692987599027497,818.0025868031044,19.05
72,73,US-2015-134026,2015-05-02,Standard Class,JE-15745,Joel Eaton,Consumer,United States,Memphis,Tennessee,38109,South,FUR-CH-10000513,Furniture,Chairs,High-Back Leather Manager's Chair,831.936,8,0.2,-114.3912,-13.749999999999998,2015,4,2,30,1616.0396039603963,28290.95716666666,41870.214049999995,20.851003937220057,475.4490872757265,2859.78
73,74,US-2015-134026,2015-05-02,Standard Class,JE-15745,Joel Eaton,Consumer,United States,Memphis,Tennessee,38109,South,FUR-FU-10003708,Furniture,Furnishings,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",97.04,2,0.2,1.213,1.25,2015,4,2,30,5676.190476190477,28290.95716666666,41870.214049999995,20.851003937220057,475.4490872757265,97.04
74,75,US-2015-134026,2015-05-02,Standard Class,JE-15745,Joel Eaton,Consumer,United States,Memphis,Tennessee,38109,South,OFF-ST-10004123,Office Supplies,Storage,Safco Industrial Wire Shelving System,72.784,1,0.2,-18.196,-25.0,2015,4,2,30,420.6294706723892,28290.95716666666,41870.214049999995,20.851003937220057,475.4490872757265,291.136
